MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
ML81945023,RES-MFG,RES,UNDRCON,3431,417 Aspen Court,Forest Grove,95209,143,6,2.0,3,3500,453,452,20-49.99AC,2023-11-07,67,77,2023-09-01,"$1,585,555",2023-12-02,"$1,582,000",1978,0,1,2,FMHA
ML81945024,PLNCOMM,RES,NEW,4495,8238 Magnolia Drive,City,95244,141,1,2.1,1,2001,189,195,1-2.99AC,2023-04-09,76,83,2023-01-23,"$378,508",2023-05-03,"$390,195",2011,0,1,1,SGI
ML81945025,IN-PARK,RES,UNDRCON,3647,8290 Spruce Place,Portland,95155,147,5,4.1,1,2505,333,318,"3K-4,999SF",2023-06-17,11,15,2023-06-06,"$833,708",2023-07-25,"$796,590",2015,0,3,3,FCS
ML81945026,RES-MFG,RES,PROPOSD,14112,5263 Oak Place,Portland,95212,152,3,3.0,3,1981,811,781,20K-.99AC,2023-10-16,20,22,2023-09-26,"$1,606,145",2023-11-11,"$1,547,161",2001,0,2,3,OTHER
ML81945027,RES-MFG,RES,REMOD,10877,8072 Cedar Lane,Hillsboro,95123,141,5,4.0,2,2915,462,457,3-4.99AC,2024-09-17,41,50,2024-08-07,"$1,347,141",2024-10-21,"$1,332,155",1956,0,1,1,FCS
ML81945028,DETACHD,RES,EXISTNG,5263,8668 Oak Avenue,Beaverton,95234,$141,6,1.1,2,2035,523,499,"5K-6,999SF",2024-11-29,41,49,2024-10-19,"$1,064,307",2024-12-21,"$1,015,465",1975,0,0,2,FHA
ML81945029,DETACHD,RES,UNDRCON,10065,4924 Spruce Street,Portland,95107,$141,5,1.1,2,4360,150,151,20K-.99AC,2024-04-02,17,24,2024-03-16,"$653,721",2024-05-01,"$658,360",2024,0,0,3,LEAS-OP
ML81945030,RES-MFG,RES,EXISTNG,10179,4220 Birch Lane,Beaverton,95131,$141,3,3.1,3,4335,286,287,7-9.99AC,2024-11-24,59,68,2024-09-26,"$1,238,784",2024-12-16,"$1,244,145",1988,0,0,1,LOW-INC
ML81945031,ATTACHD,RES,UNDRCON,4147,5834 Cypress Place,Gales Creek,95194,150,1,4.1,3,2339,142,147,5-6.99AC,2023-05-26,48,53,2023-04-08,"$332,127",2023-06-18,"$343,833",2022,303,0,2,FHA
ML81945032,RES-MFG,RES,RESALE,7843,3384 Willow Avenue,Portland,95179,$141,3,1.0,1,2228,172,177,20-49.99AC,2024-04-04,62,64,2024-02-02,"$383,053",2024-04-26,"$394,356",2006,0,2,0,CASH
ML81945033,CONDO,RES,FIXER,13512,9731 Willow Circle Unit 424,Portland,95245,141,5,2.1,2,3821,425,425,20K-.99AC,2023-10-03,55,57,2023-08-09,"$1,622,793",2023-11-08,"$1,623,925",1998,0,2,1,OWNCRRY
ML81945034,IN-PARK,RES,FIXER,4039,1801 Elm Place,Portland,95161,142,1,2.0,2,3445,222,231,"7K-9,999SF",2023-08-07,42,48,2023-06-26,"$765,645",2023-09-04,"$795,795",2005,0,3,0,REHAB
ML81945035,IN-PARK,RES,EXISTNG,11809,7970 Aspen Place,Cornelius,95187,152,1,3.1,1,2993,351,362,1-2.99AC,2023-02-19,47,47,2023-01-03,"$1,049,724",2023-03-15,"$1,083,466",1985,0,3,0,LSE-BAK
ML81945036,PLNCOMM,RES,UNKNOWN,3794,3202 Birch Road,Portland,95187,142,4,4.0,3,1846,321,328,"3K-4,999SF",2024-07-24,39,45,2024-06-15,"$592,545",2024-08-23,"$605,488",1982,0,2,2,ASSMP
ML81945037,RES-MFG,RES,REMOD,10918,1641 Redwood Court,Beaverton,95193,142,5,2.0,3,3897,432,414,"10K-14,999SF",2024-12-11,46,49,2024-10-26,"$1,682,098",2025-01-11,"$1,613,358",2013,0,1,2,SGI
ML81945038,PLNCOMM,RES,REGHIST,11113,6108 Spruce Court,Portland,95210,141,1,3.1,3,1046,1676,1732,"5K-6,999SF",2024-04-06,20,26,2024-03-17,"$1,752,913",2024-05-10,"$1,811,672",1993,0,2,3,ASSMP
ML81945039,FLTHOME,RES,EXISTNG,9349,1050 Cypress Court,Portland,95228,$141,4,4.1,3,3205,535,546,20K-.99AC,2024-09-29,64,72,2024-07-27,"$1,714,786",2024-10-31,"$1,749,930",1956,0,2,2,REHAB
ML81945040,PLNCOMM,RES,EXISTNG,13828,6420 Cedar Road,Portland,95207,152,4,1.0,1,3779,347,332,"0-2,999SF",2023-05-20,68,76,2023-03-13,"$1,312,544",2023-06-21,"$1,254,628",1985,0,0,3,LOW-INC
ML81945041,DETACHD,RES,FIXER,10824,766 Cherry Circle,Portland,95102,143,2,1.0,3,4228,119,118,"0-2,999SF",2024-02-21,25,35,2024-01-27,"$502,811",2024-03-14,"$498,904",1984,0,0,2,OTHER
ML81945042,IN-PARK,RES,REGHIST,12575,8158 Walnut Road,Portland,95228,147,6,3.0,2,4281,130,124,5-6.99AC,2023-03-03,33,41,2023-01-29,"$557,107",2023-03-26,"$530,844",1956,0,2,2,SGI
ML81945043,CONDO,RES,EXISTNG,8645,8512 Ash Drive,Hillsboro,95110,142,2,2.1,1,1941,711,695,"7K-9,999SF",2023-10-01,18,23,2023-09-13,"$1,380,483",2023-10-26,"$1,348,995",2005,247,0,1,OWNCONT
ML81945044,FLTHOME,RES,PROPOSD,6915,4149 Walnut Way,Portland,95112,$141,4,2.1,1,2070,603,576,3-4.99AC,2025-03-24,84,88,2024-12-30,"$1,248,041",2025-04-25,"$1,192,320",2010,0,1,2,CALL-SA
ML81945045,FLTHOME,RES,PROPOSD,7518,2456 Ash Avenue,Portland,95219,143,5,3.0,1,1866,201,210,"7K-9,999SF",2024-07-02,73,73,2024-04-20,"$374,365",2024-08-02,"$391,860",2017,0,1,0,LOW-INC
ML81945046,DETACHD,RES,REMOD,7422,2150 Ash Drive,Portland,95197,141,6,4.1,2,1420,222,227,"3K-4,999SF",2023-05-27,50,52,2023-04-07,"$315,421",2023-07-05,"$322,340",2006,0,2,1,LSE-BAK
ML81945047,FLTHOME,RES,REGHIST,11870,1041 Spruce Street,Portland,95243,142,5,2.1,3,2912,145,142,20K-.99AC,2024-03-21,87,93,2023-12-25,"$421,715",2024-04-19,"$413,504",1981,0,1,0,OWNCRRY
ML81945048,CONDO,RES,RESALE,6530,3011 Maple Street Unit 569,Portland,95192,142,3,3.0,2,1729,852,834,20K-.99AC,2023-03-08,23,26,2023-02-13,"$1,473,673",2023-04-15,"$1,441,986",2017,346,1,2,USDA
ML81945049,IN-PARK,RES,UNDRCON,8740,119 Cherry Lane,Portland,95183,142,1,3.0,3,3454,579,573,"7K-9,999SF",2025-02-16,63,68,2024-12-15,"$1,998,255",2025-03-11,"$1,979,142",2016,0,0,0,LSE-BAK
ML81945050,IN-PARK,RES,FIXER,9605,7814 Cedar Boulevard,Portland,95165,$141,1,3.0,3,3269,289,300,10-19.99AC,2024-03-08,61,71,2024-01-07,"$944,382",2024-03-30,"$980,700",1954,0,0,2,OTHER
ML81945051,FLTHOME,RES,UNKNOWN,8932,6193 Ash Lane,Portland,95204,147,4,4.1,2,1676,757,778,"10K-14,999SF",2023-04-04,10,16,2023-03-25,"$1,268,030",2023-05-12,"$1,303,928",1998,0,1,1,FCS
ML81945052,CONDO,RES,PROPOSD,4515,4838 Redwood Drive Unit 397,Portland,95166,142,5,1.0,1,1397,746,723,3-4.99AC,2023-11-19,28,30,2023-10-22,"$1,041,837",2023-12-10,"$1,010,031",2000,202,1,0,FMHA
ML81945053,FLTHOME,RES,NEW,9985,9828 Walnut Place,Portland,95135,143,6,1.0,1,2821,417,437,"10K-14,999SF",2024-11-30,71,72,2024-09-20,"$1,176,277",2024-12-31,"$1,232,777",2000,0,0,1,LEAS-OP
ML81945054,RES-MFG,RES,RESTORD,9776,6749 Cedar Way,Portland,95108,152,5,1.0,2,3600,240,232,"5K-6,999SF",2023-07-10,19,21,2023-06-21,"$862,937",2023-08-03,"$835,200",1961,0,1,3,FCS
ML81945055,RES-MFG,RES,UNDRCON,7419,7651 Pine Way,Forest Grove,95237,152,3,4.1,1,4074,361,357,5-6.99AC,2024-09-08,69,71,2024-07-01,"$1,469,740",2024-10-02,"$1,454,418",1954,0,2,0,TRADE
ML81945056,PLNCOMM,RES,FIXER,11019,8165 Pine Place,Portland,95233,141,3,1.0,2,2069,872,847,"7K-9,999SF",2024-10-24,28,36,2024-09-26,"$1,803,645",2024-11-21,"$1,752,443",1972,0,3,3,REHAB
ML81945057,ATTACHD,RES,APPROX,3344,7544 Cherry Circle,Portland,95167,141,4,2.1,2,1116,1438,1379,"10K-14,999SF",2024-01-28,75,81,2023-11-14,"$1,604,456",2024-02-23,"$1,538,964",2021,169,0,3,LSE-BAK
ML81945058,PLNCOMM,RES,RESTORD,10175,6521 Birch Avenue,Tualatin,95206,150,6,1.0,3,2273,825,800,"7K-9,999SF",2024-01-31,53,59,2023-12-09,"$1,875,143",2024-03-11,"$1,818,400",1950,0,1,0,CASH
ML81945059,ATTACHD,RES,UNKNOWN,8348,8739 Pine Circle,Portland,95133,152,5,4.1,2,1558,879,914,20-49.99AC,2024-04-20,67,69,2024-02-13,"$1,370,080",2024-05-10,"$1,424,012",1985,304,3,2,CONV
ML81945060,CONDO,RES,REMOD,13722,279 Ash Drive,West Linn,95114,$141,2,2.0,1,4484,380,368,3-4.99AC,2024-04-13,86,87,2024-01-18,"$1,702,253",2024-05-13,"$1,650,112",1971,352,0,2,VA
ML81945061,CONDO,RES,RESTORD,10226,8506 Maple Drive Unit 274,Portland,95126,143,1,1.1,2,1691,938,927,"5K-6,999SF",2023-07-04,37,43,2023-05-28,"$1,586,582",2023-08-11,"$1,567,557",1975,485,0,0,NOFNCING
ML81945062,ATTACHD,RES,UNDRCON,5712,5537 Redwood Boulevard,Portland,95132,141,3,3.1,3,1907,340,333,7-9.99AC,2024-06-04,48,55,2024-04-17,"$647,757",2024-07-05,"$635,031",1952,0,2,3,FHA
ML81945063,DETACHD,RES,NEW,11673,1682 Pine Road,Portland,95250,143,4,1.0,3,4180,395,397,5-6.99AC,2024-01-31,79,83,2023-11-13,"$1,652,558",2024-02-27,"$1,659,460",1976,0,0,0,OTHER
ML81945064,DETACHD,RES,REGHIST,3140,8048 Oak Avenue,Portland,95242,141,4,4.0,1,3552,511,536,7-9.99AC,2024-05-20,61,63,2024-03-20,"$1,815,866",2024-06-12,"$1,903,872",2002,0,1,1,FMHA
ML81945065,DETACHD,RES,NEW,11755,6915 Birch Lane,Hillsboro,95214,143,6,2.0,2,3184,226,230,"3K-4,999SF",2024-12-21,42,48,2024-11-09,"$720,949",2025-01-18,"$732,320",2007,0,1,3,LEAS-OP
ML81945066,RES-MFG,RES,UNDRCON,7001,8220 Spruce Lane,Gales Creek,95110,$141,1,1.0,1,2304,225,218,"10K-14,999SF",2024-08-01,57,62,2024-06-05,"$518,045",2024-09-09,"$502,272",1997,0,3,1,LSE-BAK
ML81945067,FLTHOME,RES,REGHIST,10469,3085 Maple Court,Portland,95217,152,1,4.0,1,3909,496,487,3-4.99AC,2025-02-02,35,42,2024-12-29,"$1,940,644",2025-02-26,"$1,903,683",1959,0,0,3,LEAS-OP
ML81945068,ATTACHD,RES,EXISTNG,6367,9628 Cypress Drive,Newberg,95208,$141,1,3.0,3,1664,655,668,5-6.99AC,2024-10-01,60,68,2024-08-02,"$1,089,740",2024-10-28,"$1,111,552",1998,416,3,0,CASH
ML81945069,ATTACHD,RES,APPROX,10866,4368 Maple Way,Gaston,95111,142,2,1.0,3,3803,212,218,"3K-4,999SF",2024-08-19,57,62,2024-06-23,"$805,997",2024-09-18,"$829,054",1971,361,0,2,ASSMP
ML81945070,FLTHOME,RES,APPROX,12583,9507 Pine Circle,Newberg,95129,143,1,3.0,2,3689,233,226,"15K-19,999SF",2024-01-06,59,62,2023-11-08,"$859,801",2024-02-08,"$833,714",1958,0,1,2,FCS
ML81945071,ATTACHD,RES,APPROX,9823,4475 Walnut Boulevard,Tualatin,95225,152,4,4.1,2,4120,188,183,1-2.99AC,2024-09-18,85,91,2024-06-25,"$773,128",2024-10-28,"$753,960",1966,191,2,0,LSE-BAK
ML81945072,CONDO,RES,NEW,12075,8024 Magnolia Avenue Unit 309,Portland,95106,147,5,4.1,1,4059,262,253,"15K-19,999SF",2024-04-08,82,90,2024-01-17,"$1,063,754",2024-05-10,"$1,026,927",2015,304,0,1,LOW-INC
ML81945073,CONDO,RES,PROPOSD,3631,3674 Redwood Circle,Portland,95239,143,1,4.0,1,3143,97,95,20-49.99AC,2023-10-01,18,25,2023-09-13,"$305,801",2023-11-10,"$298,585",1973,345,1,0,FCS
ML81945074,DETACHD,RES,NEW,11500,1481 Magnolia Way,Portland,95182,150,3,1.0,3,1121,1121,1077,"10K-14,999SF",2024-07-03,43,50,2024-05-21,"$1,256,986",2024-08-05,"$1,207,317",1969,0,3,1,OWNCRRY
ML81945075,RES-MFG,RES,RESTORD,14126,5915 Aspen Road,Portland,95129,152,1,1.1,2,2797,182,182,"15K-19,999SF",2023-10-27,69,78,2023-08-19,"$508,485",2023-11-23,"$509,054",2000,0,0,2,ASSMP
ML81945076,CONDO,RES,UNKNOWN,14843,7365 Elm Court,Portland,95111,142,5,1.0,2,2927,669,641,3-4.99AC,2023-11-12,19,23,2023-10-24,"$1,957,260",2023-12-04,"$1,876,207",1963,0,3,3,ASSMP
ML81945077,CONDO,RES,APPROX,5673,2874 Spruce Place,Portland,95241,$141,2,4.0,2,2590,588,577,"5K-6,999SF",2024-10-27,88,95,2024-07-31,"$1,523,992",2024-11-29,"$1,494,430",2019,0,2,2,TRADE
ML81945078,PLNCOMM,RES,UNKNOWN,3199,4355 Birch Circle,Portland,95193,150,4,2.0,1,4174,368,370,5-6.99AC,2023-04-23,79,82,2023-02-03,"$1,535,914",2023-05-17,"$1,544,380",1960,0,3,3,FMHA
ML81945079,DETACHD,RES,REGHIST,12287,840 Walnut Lane,Portland,95237,147,5,2.0,1,2139,920,929,"10K-14,999SF",2024-09-21,80,88,2024-07-03,"$1,968,525",2024-10-23,"$1,987,131",1993,0,0,3,OWNCRRY
ML81945080,DETACHD,RES,UNDRCON,8082,7970 Pine Avenue,Forest Grove,95169,141,1,2.1,2,4042,433,428,3-4.99AC,2023-01-15,14,19,2023-01-01,"$1,750,804",2023-02-21,"$1,729,976",1983,0,3,0,OWNCRRY
ML81945081,ATTACHD,RES,EXISTNG,12791,2724 Willow Circle,Portland,95202,150,2,2.1,1,3880,366,362,"0-2,999SF",2023-10-03,63,63,2023-08-01,"$1,419,554",2023-10-30,"$1,404,560",2023,174,3,2,CALL-SA
ML81945082,RES-MFG,RES,APPROX,4697,1606 Redwood Court,Portland,95114,141,6,2.1,2,1568,743,717,"3K-4,999SF",2023-06-05,40,42,2023-04-26,"$1,165,654",2023-07-01,"$1,124,256",1961,0,0,2,SGI
ML81945083,DETACHD,RES,UNKNOWN,6992,9965 Cedar Court,Portland,95176,152,2,3.0,1,2941,180,176,"3K-4,999SF",2024-12-27,11,16,2024-12-16,"$529,926",2025-01-26,"$517,616",1991,0,3,3,FCS
ML81945084,DETACHD,RES,UNDRCON,10454,4756 Maple Place,Aloha,95241,$141,2,4.0,2,2702,164,169,"7K-9,999SF",2024-01-14,59,60,2023-11-16,"$442,924",2024-02-12,"$456,638",2021,0,2,1,VA
ML81945085,RES-MFG,RES,EXISTNG,7164,1218 Elm Drive,Forest Grove,95145,141,1,2.1,1,2681,678,672,3-4.99AC,2024-08-25,31,36,2024-07-25,"$1,817,410",2024-09-18,"$1,801,632",1957,0,2,0,REHAB
ML81945086,FLTHOME,RES,REMOD,11613,2740 Spruce Road,Milwaukie,95203,$141,6,3.1,2,2812,315,321,"7K-9,999SF",2023-02-24,44,45,2023-01-11,"$886,288",2023-03-27,"$902,652",2018,0,3,3,ASSMP
ML81945087,PLNCOMM,RES,FIXER,10332,4687 Willow Circle,Portland,95190,150,1,1.0,1,2975,314,314,5-6.99AC,2024-03-20,63,72,2024-01-17,"$934,567",2024-04-20,"$934,150",1977,0,2,2,OTHER
ML81945088,FLTHOME,RES,RESTORD,6883,5836 Magnolia Road,Portland,95234,152,4,3.0,3,3063,327,317,"15K-19,999SF",2023-06-03,60,61,2023-04-04,"$1,002,654",2023-06-30,"$970,971",2020,0,3,1,REHAB
ML81945089,PLNCOMM,RES,APPROX,14574,5909 Cedar Way,Portland,95158,142,1,1.1,1,1268,385,380,"3K-4,999SF",2023-12-21,25,25,2023-11-26,"$488,361",2024-01-18,"$481,840",2003,0,3,2,FCS
ML81945090,IN-PARK,RES,PROPOSD,9328,3452 Birch Boulevard,Portland,95209,$141,3,2.1,3,2969,547,545,"0-2,999SF",2024-06-29,17,27,2024-06-12,"$1,624,102",2024-08-06,"$1,618,105",2020,0,1,2,OWNCRRY
ML81945091,DETACHD,RES,NEW,6923,5847 Pine Court,Portland,95133,150,4,2.0,1,1277,726,747,"3K-4,999SF",2024-09-12,41,47,2024-08-02,"$927,359",2024-10-17,"$953,919",1966,0,3,1,OTHER
ML81945092,ATTACHD,RES,RESALE,14285,8105 Redwood Drive,Beaverton,95127,152,1,2.1,3,2116,912,877,1-2.99AC,2023-07-12,53,53,2023-05-20,"$1,929,829",2023-08-09,"$1,855,732",2007,421,0,1,VA
ML81945093,ATTACHD,RES,FIXER,8048,6488 Pine Avenue,Lake Oswego,95183,150,2,4.0,2,3553,150,157,"3K-4,999SF",2023-10-23,61,68,2023-08-23,"$532,345",2023-11-15,"$557,821",1953,571,3,1,FMHA
ML81945094,PLNCOMM,RES,RESTORD,13799,5799 Willow Circle,Gales Creek,95182,150,2,2.0,2,2761,545,564,5-6.99AC,2023-02-26,12,22,2023-02-14,"$1,504,021",2023-04-03,"$1,557,204",1962,0,1,3,OWNCONT
ML81945095,RES-MFG,RES,UNDRCON,5849,8747 Walnut Boulevard,Portland,95250,142,1,3.0,3,3429,486,485,"15K-19,999SF",2023-02-20,49,59,2023-01-02,"$1,665,658",2023-03-18,"$1,663,065",2001,0,1,3,FMHA
ML81945096,IN-PARK,RES,NEW,9539,3878 Willow Circle,Portland,95138,150,6,1.0,1,1220,508,517,1-2.99AC,2023-02-25,54,60,2023-01-02,"$620,129",2023-04-02,"$630,740",1994,0,2,2,CALL-SA
ML81945097,IN-PARK,RES,APPROX,12062,8983 Spruce Drive,Portland,95134,150,1,4.0,1,1600,1082,1110,"5K-6,999SF",2024-02-08,64,65,2023-12-06,"$1,731,299",2024-03-06,"$1,776,000",1998,0,2,1,REHAB
ML81945098,RES-MFG,RES,RESALE,14418,6968 Maple Road,Portland,95174,143,1,4.1,2,1260,689,661,"10K-14,999SF",2024-12-26,77,82,2024-10-10,"$868,578",2025-01-22,"$832,860",1971,0,2,0,LEAS-OP
ML81945099,DETACHD,RES,APPROX,11200,3156 Oak Drive,Tualatin,95248,142,6,1.1,2,1376,441,424,"15K-19,999SF",2023-06-19,50,54,2023-04-30,"$607,109",2023-07-14,"$583,424",1970,0,3,0,NOFNCING
ML81945100,IN-PARK,RES,UNKNOWN,14589,1023 Maple Circle,Portland,95121,142,4,1.0,2,3913,112,108,7-9.99AC,2023-02-26,47,48,2023-01-10,"$438,763",2023-03-23,"$422,604",1953,0,3,2,VA
ML81945101,DETACHD,RES,FIXER,11412,3406 Spruce Court,Hillsboro,95250,147,4,4.0,1,4088,220,216,"3K-4,999SF",2024-07-12,71,76,2024-05-02,"$899,059",2024-08-12,"$883,008",1995,0,2,3,OWNCRRY
ML81945102,DETACHD,RES,RESALE,5951,7031 Willow Boulevard,Lake Oswego,95184,150,5,3.0,3,2161,662,636,"3K-4,999SF",2024-05-24,5,6,2024-05-19,"$1,430,535",2024-06-22,"$1,374,396",1983,0,0,0,CALL-SA
ML81945103,FLTHOME,RES,RESALE,8639,2138 Oak Circle,Newberg,95101,142,4,4.1,2,3382,573,596,7-9.99AC,2024-04-19,27,33,2024-03-23,"$1,938,881",2024-05-19,"$2,015,672",2007,0,2,1,CALL-SA
ML81945104,CONDO,RES,NEW,6338,8385 Redwood Street,Portland,95199,142,2,2.0,2,3207,338,330,7-9.99AC,2023-10-10,47,47,2023-08-24,"$1,085,345",2023-11-17,"$1,058,310",1965,310,1,2,USDA
ML81945105,DETACHD,RES,RESTORD,4315,4180 Maple Boulevard,Portland,95227,$141,5,4.1,1,3453,391,383,"7K-9,999SF",2024-09-14,43,43,2024-08-02,"$1,349,532",2024-10-19,"$1,322,499",2000,0,2,3,REHAB
ML81945106,RES-MFG,RES,UNKNOWN,3144,2486 Cedar Street,Gales Creek,95197,150,1,4.0,2,3090,500,476,10-19.99AC,2024-04-28,32,42,2024-03-27,"$1,546,402",2024-05-26,"$1,470,840",1970,0,2,3,FCS
ML81945107,CONDO,RES,PROPOSD,8125,6611 Willow Drive,Lake Oswego,95128,142,1,2.0,2,2712,149,155,"3K-4,999SF",2025-01-29,61,68,2024-11-29,"$405,094",2025-02-18,"$420,360",2012,548,3,2,SGI
ML81945108,CONDO,RES,RESTORD,14538,7903 Walnut Drive,Portland,95134,150,5,4.0,2,1434,935,933,"7K-9,999SF",2023-06-10,15,15,2023-05-26,"$1,340,874",2023-06-30,"$1,337,922",1978,0,1,1,LEAS-OP
ML81945109,PLNCOMM,RES,REMOD,7866,6339 Elm Way,Portland,95173,142,3,1.0,2,3587,394,406,"5K-6,999SF",2024-01-07,89,93,2023-10-10,"$1,412,318",2024-02-05,"$1,456,322",2002,0,3,1,REHAB
ML81945110,PLNCOMM,RES,EXISTNG,14413,6466 Walnut Lane,Lake Oswego,95218,141,6,1.0,3,1352,684,705,5-6.99AC,2023-05-05,46,46,2023-03-20,"$924,145",2023-06-07,"$953,160",2021,0,1,1,FMHA
